染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
圆网印花		{'rotary screen printing':1.0}	{'rotary screen printing': 3}	rotary screen printing
吸湿发热		{'moisture absorption and heat-generating':0.26087,'moisture absorption and heating':0.13043,'hygroscopic exothermic':0.08696,'hygroscopic heating':0.08696,'moisture absorbing and heat-generating':0.08696,'moisture-absorbing and heat-generating properties':0.08696,'moisture-absorption and heat-generating':0.08696,'moisture absorption and heat-generating properties':0.08696,'moisture absorption and heat generating':0.08696}	{'moisture absorption and heat-generating': 0, 'moisture absorption and heating': 0, 'hygroscopic exothermic': 0, 'hygroscopic heating': 0, 'moisture absorbing and heat-generating': 0, 'moisture-absorbing and heat-generating properties': 0, 'moisture-absorption and heat-generating': 0, 'moisture absorption and heat-generating properties': 0, 'moisture absorption and heat generating': 0}	moisture absorption and heat-generating
相变微胶囊		{'phase change microcapsule':0.64516,'phase change microcapsules':0.35484}	{'phase change microcapsules': 25, 'phase change microcapsule': 5}	phase change microcapsule
虚拟现实		{'virtual reality':1.0}	{'virtual reality': 108}	virtual reality
功能性服装	{'功能性服装':0.76069,'功能服装':0.23931}	{'functional clothing':0.84848,'functional garments':0.09091,'functional apparel':0.06061}	{'functional clothing': 26, 'functional apparel': 3, 'functional garments': 0}	functional clothing
剥色	{'剥色':0.87041,'剥离':0.08,'脱色':0.04959}	{'stripping':0.66667,'color stripping':0.27273,'stripping color':0.06061}	{'stripping': 48, 'color stripping': 4, 'stripping color': 0}	stripping
丝胶蛋白	{'丝胶':0.57177,'丝胶蛋白':0.42823}	{'sericin':0.70588,'sericin protein':0.23529,'silk sericin':0.05882}	{'sericin': 100, 'silk sericin': 26, 'sericin protein': 0}	sericin
化学纤维	{'化学纤维':0.67857,'化纤':0.32143}	{'chemical fiber':0.75,'man-made fiber':0.15625,'chemical fibers':0.09375}	{'chemical fibers': 96, 'man-made fiber': 17, 'chemical fiber': 0}	chemical fiber
阻燃织物	{'阻燃织物':0.83148,'阻燃面料':0.16852}	{'flame retardant fabric':0.48148,'flame-retardant fabric':0.22222,'fire proofing fabric':0.22222,'flame-retardant fabrics':0.07407}	{'flame retardant fabric': 9, 'flame-retardant fabric': 5, 'fire proofing fabric': 0, 'flame-retardant fabrics': 0}	flame retardant fabric
变性淀粉	{'变性淀粉':0.93939,'改性淀粉':0.06061}	{'modified starch':1.0}	{'modified starch': 48}	modified starch
毛羽指数	{'毛羽指数':0.93333,'毛羽':0.06667}	{'hairiness index':0.93333,'hairiness':0.06667}	{'hairiness': 268, 'hairiness index': 12}	hairiness index
涡流纺	{'涡流纺':0.53571,'喷气涡流纺':0.21429,'涡流纺纱':0.21429,'喷气涡流纺纱':0.03571}	{'vortex spinning':1.0}	{'vortex spinning': 78}	vortex spinning
溶解度	{'溶解度':0.51562,'溶解性':0.32812,'溶解性能':0.10938,'溶解法':0.04688}	{'solubility':1.0}	{'solubility': 3471}	solubility
莱赛尔	{'莱赛尔':0.5,'Lyocell':0.35294,'莱赛尔纤维':0.08824,'lyocell':0.02941,'Lyocell纤维':0.02941}	{'lyocell':1.0}	{'lyocell': 159}	lyocell
纺织面料	{'纺织面料':0.78893,'纺织品':0.15181,'织物':0.04779,'面料':0.01147}	{'textile fabric':0.48485,'textile fabrics':0.45455,'fabric':0.06061}	{'fabric': 1982, 'textile fabric': 124, 'textile fabrics': 36}	textile fabric
热舒适	{'热舒适性':0.47297,'热舒适':0.45946,'热湿舒适性':0.06757}	{'thermal comfort':1.0}	{'thermal comfort': 325}	thermal comfort
喷嘴	{'喷嘴':0.94464,'喷头':0.05536}	{'nozzle':0.94118,'jet nozzle':0.05882}	{'nozzle': 83, 'jet nozzle': 0}	nozzle
氧漂	{'氧漂':0.87554,'氧化漂白':0.12446}	{'oxygen bleaching':0.51515,'peroxide bleaching':0.24242,'oxidation bleaching':0.15152,'oxydation bleaching':0.09091}	{'peroxide bleaching': 52, 'oxygen bleaching': 8, 'oxidation bleaching': 0, 'oxydation bleaching': 0}	oxygen bleaching
脱胶工艺	{'脱胶工艺':0.95139,'脱胶技术':0.04861}	{'degumming process':0.78125,'degumming technology':0.21875}	{'degumming process': 6, 'degumming technology': 0}	degumming process
再生纤维		{'regenerated fiber':0.64516,'regenerated fibre':0.19355,'regenerated fibers':0.09677,'recycled fiber':0.06452}	{'regenerated fiber': 16, 'regenerated fibers': 13, 'recycled fiber': 11, 'regenerated fibre': 0}	regenerated fiber
抗起毛起球性	{'抗起毛起球性':0.54353,'抗起毛起球':0.30354,'抗起球':0.0713,'起毛起球性':0.03472,'抗起毛起球性能':0.03472,'抗起毛':0.01219}	{'pilling resistance':0.41667,'anti-pilling':0.25,'anti-fuzzy-pilling tendency':0.20833,'anti-pilling property':0.125}	{'pilling resistance': 41, 'anti-pilling': 18, 'anti-fuzzy-pilling tendency': 0, 'anti-pilling property': 0}	pilling resistance
微观形貌	{'微观形貌':0.4912,'微观结构':0.24417,'微观形态':0.11812,'微结构':0.03996,'细观结构':0.03108,'微细结构':0.02664,'显微结构':0.0222,'金相组织':0.01332,'显微组织':0.01332}	{'microstructure':0.47059,'micro-morphology':0.17647,'micromorphology':0.11765,'microtopography':0.08824,'microscopic morphology':0.08824,'micro morphology':0.05882}	{'microstructure': 3857, 'micromorphology': 53, 'microscopic morphology': 42, 'microtopography': 9, 'micro-morphology': 0, 'micro morphology': 0}	microstructure
校服	{'校服':0.74518,'制式校服':0.07059,'学生装':0.07059,'学生校服':0.04575,'制服':0.04073,'服装':0.01358,'制式服装':0.01358}	{'school uniform':0.70588,'school uniforms':0.20588,'uniform':0.08824}	{'uniform': 39, 'school uniform': 7, 'school uniforms': 3}	school uniform
活化		{'activation':0.94286,'activate':0.05714}	{'activation': 221, 'activate': 0}	activation
柔性	{'柔性':0.69378,'柔软性':0.0646,'柔韧性':0.05039,'弹性':0.05039,'灵活性':0.04199,'柔性化':0.02519,'柔软度':0.01874,'刚柔性':0.0168,'可挠度':0.0168,'弹性性能':0.0168,'柔软':0.00323,'柔软性能':0.00129}	{'flexible':0.58333,'flexibility':0.36111,'softness':0.05556}	{'flexible': 407, 'flexibility': 328, 'softness': 74}	flexible
可持续	{'可持续':0.75433,'可持续性':0.24567}	{'sustainable':0.62857,'sustainability':0.37143}	{'sustainability': 545, 'sustainable': 99}	sustainable
香云纱	{'香云纱':0.9447,'莨纱绸':0.0553}	{'gambiered canton gauze':0.29032,'xiangyun gauze':0.12903,'gambiered guangdong silk':0.12903,'xiangyunsha':0.12903,'fragrant cloud yarn':0.09677,'gambiered guangdong gauze':0.09677,'xiangyun yarn':0.06452,'xiang-yun-sha':0.06452}	{'gambiered canton gauze': 0, 'xiangyun gauze': 0, 'gambiered guangdong silk': 0, 'xiangyunsha': 0, 'fragrant cloud yarn': 0, 'gambiered guangdong gauze': 0, 'xiangyun yarn': 0, 'xiang-yun-sha': 0}	gambiered canton gauze
化学镀银	{'化学镀银':0.96551,'镀银':0.03449}	{'electroless silver plating':0.7931,'electroless silver':0.06897,'chemical silver plating':0.06897,'silver plating':0.06897}	{'silver plating': 33, 'electroless silver plating': 8, 'chemical silver plating': 6, 'electroless silver': 0}	electroless silver plating
电子提花机	{'电子提花机':0.86364,'电子提花':0.13636}	{'electronic jacquard':0.5,'electronic jacquard machine':0.4375,'electric jacquard machine':0.0625}	{'electronic jacquard': 5, 'electronic jacquard machine': 0, 'electric jacquard machine': 0}	electronic jacquard
天然彩色棉	{'天然彩色棉':0.69564,'天然彩棉':0.25275,'彩色棉':0.05161}	{'naturally colored cotton':0.64516,'natural colored cotton':0.25806,'natural color cotton':0.09677}	{'naturally colored cotton': 10, 'natural colored cotton': 3, 'natural color cotton': 0}	naturally colored cotton
响应面法	{'响应面法':0.519,'响应曲面法':0.27766,'响应面分析法':0.0949,'响应面分析':0.05422,'响应面':0.05422}	{'response surface methodology':0.51515,'response surface method':0.42424,'response surface methodology(rsm)':0.06061}	{'response surface methodology': 1166, 'response surface method': 143, 'response surface methodology(rsm)': 0}	response surface methodology
人工神经网络	{'人工神经网络':0.9321,'神经网络':0.0679}	{'artificial neural network':0.81481,'artificial neural networks':0.11111,'anns':0.07407}	{'artificial neural network': 348, 'artificial neural networks': 94, 'anns': 0}	artificial neural network
弹性纤维	{'弹性纤维':0.91761,'弹力纤维':0.08239}	{'elastic fiber':0.87879,'elastic fibre':0.06061,'elastic fibers':0.06061}	{'elastic fiber': 8, 'elastic fibers': 3, 'elastic fibre': 0}	elastic fiber
层层自组装	{'层层自组装':0.91789,'层层组装':0.08211}	{'layer-by-layer self-assembly':0.6129,'layer by layer self-assembly':0.12903,'layer-by-layer assembly':0.12903,'lbl self-assembly':0.06452,'layer self-assembly':0.06452}	{'layer-by-layer assembly': 209, 'layer-by-layer self-assembly': 81, 'lbl self-assembly': 9, 'layer by layer self-assembly': 4, 'layer self-assembly': 0}	layer-by-layer self-assembly
甲壳素	{'甲壳素':0.68932,'壳聚糖':0.16163,'甲壳质':0.0947,'甲壳素纤维':0.05435}	{'chitin':0.82857,'chitosan':0.11429,'chitin fiber':0.05714}	{'chitosan': 6210, 'chitin': 2518, 'chitin fiber': 5}	chitin
同浴染色	{'同浴染色':0.4857,'一浴法染色':0.40001,'一浴染色':0.07143,'一浴法':0.04285}	{'one bath dyeing':0.5,'one-bath dyeing':0.5}	{'one-bath dyeing': 9, 'one bath dyeing': 4}	one bath dyeing
弱酸性染料	{'弱酸性染料':0.93103,'酸性染料':0.06897}	{'weak acid dyes':0.44828,'weak acid dye':0.41379,'weakly acid dye':0.06897,'acid dyes':0.06897}	{'acid dyes': 135, 'weak acid dyes': 4, 'weak acid dye': 0, 'weakly acid dye': 0}	weak acid dyes
中空纤维		{'hollow fiber':0.90323,'hollow fibre':0.09677}	{'hollow fiber': 763, 'hollow fibre': 105}	hollow fiber
皂洗剂		{'soaping agent':0.75,'soaping agents':0.1875,'soap lotion':0.0625}	{'soaping agent': 0, 'soaping agents': 0, 'soap lotion': 0}	soaping agent
品牌形象		{'brand image':1.0}	{'brand image': 15}	brand image
循环利用	{'循环利用':0.33805,'回收再利用':0.19073,'回收利用':0.17951,'回收':0.14586,'循环再利用':0.0561,'再利用':0.04488,'再生':0.02244,'再循环':0.02244}	{'recycling':0.92,'cyclic utilization':0.08}	{'recycling': 1558, 'cyclic utilization': 0}	recycling
织物密度	{'织物密度':0.93548,'面料密度':0.06452}	{'fabric density':1.0}	{'fabric density': 27}	fabric count;thread count
女性服饰	{'女性服饰':0.45249,'女装':0.32206,'女性服装':0.08374,'女子服饰':0.07729,'妇女服饰':0.06441}	{"women's clothing":0.69565,'female clothing':0.17391,'female dress':0.13043}	{"women's clothing": 6, 'female clothing': 0, 'female dress': 0}	women's clothing
粗节	{'粗节':0.90909,'竹节':0.09091}	{'thick place':0.57143,'slubs':0.14286,'slub':0.14286,'nub':0.07143,'nubs':0.07143}	{'slub': 4, 'thick place': 0, 'slubs': 0, 'nub': 0, 'nubs': 0}	thick place
新型纤维	{'新型纤维':0.9425,'新纤维':0.0575}	{'new fiber':0.71875,'new type fiber':0.125,'new fibers':0.09375,'new fibre':0.0625}	{'new fiber': 0, 'new type fiber': 0, 'new fibers': 0, 'new fibre': 0}	new fiber
职业教育	{'职业教育':0.94118,'高职教育':0.05882}	{'vocational education':1.0}	{'vocational education': 0}	vocational education
复合膜	{'复合膜':0.95041,'复合薄膜':0.04959}	{'composite membrane':0.66667,'composite film':0.27273,'laminated film':0.06061}	{'composite membrane': 453, 'composite film': 143, 'laminated film': 0}	composite membrane
设计原则	{'设计原则':0.87273,'设计原理':0.12727}	{'design principles':0.57576,'design principle':0.42424}	{'design principles': 74, 'design principle': 3}	design principles
艺术设计		{'art design':0.73529,'artistic design':0.14706,'art and design':0.11765}	{'art design': 0, 'artistic design': 0, 'art and design': 0}	art design
原棉	{'原棉':0.82353,'棉':0.13963,'棉花':0.01709,'棉织物':0.00961,'棉纤维':0.00667,'纯棉':0.00347}	{'raw cotton':0.82353,'cotton':0.17647}	{'cotton': 6599, 'raw cotton': 15}	raw cotton
还原剂		{'reducing agent':0.66667,'reductant':0.24242,'reducer':0.09091}	{'reducing agent': 94, 'reductant': 11, 'reducer': 0}	reducing agent
现代设计		{'modern design':1.0}	{'modern design': 0}	modern design
可视化		{'visualization':1.0}	{'visualization': 254}	visualization
纬密	{'纬密':0.94318,'纬纱密度':0.05682}	{'weft density':0.90909,'density of weft':0.09091}	{'weft density': 28, 'density of weft': 0}	weft density
功能化	{'功能化':0.72533,'功能性':0.19973,'功能':0.06327,'作用':0.00369,'功用':0.00307,'性能':0.00307,'函数':0.00184}	{'functionalization':0.69697,'functional':0.21212,'function':0.09091}	{'functionalization': 407, 'functional': 27, 'function': 22}	functionalization
防紫外	{'防紫外':0.27595,'抗紫外线':0.26753,'抗紫外':0.1913,'防紫外线':0.17497,'抗紫外性':0.03615,'抗紫外线性能':0.0212,'紫外线防护':0.01035,'紫外防护':0.00621,'防紫外线性能':0.00621,'抗紫外性能':0.006,'防紫外性能':0.00414}	{'anti-uv':0.37931,'anti-ultraviolet':0.2069,'uv resistant':0.10345,'uv protection':0.10345,'ultraviolet resistance':0.06897,'ultraviolet resistant':0.06897,'uv-protective':0.06897}	{'uv protection': 238, 'ultraviolet resistance': 66, 'anti-uv': 32, 'uv-protective': 26, 'anti-ultraviolet': 19, 'ultraviolet resistant': 12, 'uv resistant': 0}	anti-uv
电阻	{'电阻':0.7375,'阻力':0.2625}	{'resistance':0.65625,'electrical resistance':0.25,'electric resistance':0.09375}	{'electric resistance': 646, 'resistance': 361, 'electrical resistance': 77}	resistance
银		{'silver':0.85294,'ag':0.14706}	{'silver': 4049, 'ag': 122}	silver
乳液	{'乳液':0.86487,'乳化':0.08108,'乳化液':0.05405}	{'emulsion':1.0}	{'emulsion': 978}	emulsion
圣麻纤维		{'shengma fiber':1.0}	{'shengma fiber': 3}	shengma fiber
聚苯硫醚纤维	{'聚苯硫醚纤维':0.79074,'PPS纤维':0.20926}	{'polyphenylene sulfide fiber':0.53333,'pps fiber':0.3,'polyphenylene sulfide fibre':0.1,'poly(phenylene sulfide) fiber':0.06667}	{'polyphenylene sulfide fiber': 4, 'pps fiber': 0, 'polyphenylene sulfide fibre': 0, 'poly(phenylene sulfide) fiber': 0}	polyphenylene sulfide fibre
间位芳纶	{'间位芳纶':0.95833,'间位芳纶纤维':0.04167}	{'meta-aramid':0.58333,'meta aramid':0.20833,'m-aramid fiber':0.125,'meta-aramid fiber':0.08333}	{'meta-aramid': 15, 'meta-aramid fiber': 4, 'meta aramid': 3, 'm-aramid fiber': 0}	meta-aramid
对位芳纶	{'对位芳纶':0.90741,'对位芳纶纤维':0.09259}	{'para-aramid':0.70833,'para-aramid fiber':0.20833,'p-aramid':0.08333}	{'para-aramid': 12, 'p-aramid': 6, 'para-aramid fiber': 4}	para-aramid
原纤化		{'fibrillation':1.0}	{'fibrillation': 154}	fibrillation
马克隆值		{'micronaire value':0.84848,'micronaire':0.15152}	{'micronaire': 29, 'micronaire value': 17}	micronaire value
聚酰胺6	{'聚酰胺6':0.74765,'锦纶6':0.17791,'PA6':0.04466,'聚己内酰胺':0.01489,'尼龙6':0.01489}	{'polyamide 6':0.83871,'pa6':0.09677,'pa 6':0.06452}	{'polyamide 6': 153, 'pa6': 11, 'pa 6': 5}	polyamide 6
3D打印技术		{'3d printing technology':0.93548,'3dprinting technology':0.06452}	{'3d printing technology': 9, '3dprinting technology': 0}	3d printing technology
防刺性能	{'防刺性能':0.85664,'防刺':0.14336}	{'stab-resistant performance':0.34615,'stab resistance':0.23077,'stab resistant performance':0.15385,'stab-resistant property':0.11538,'stab-resistance':0.07692,'stab-resistance performance':0.07692}	{'stab resistance': 35, 'stab-resistant performance': 3, 'stab resistant performance': 0, 'stab-resistant property': 0, 'stab-resistance': 0, 'stab-resistance performance': 0}	stab-resistant performance
吸声性能		{'sound absorption property':0.53333,'sound absorption performance':0.4,'acoustical absorption performance':0.06667}	{'sound absorption property': 67, 'sound absorption performance': 9, 'acoustical absorption performance': 0}	sound absorption property
智能可穿戴		{'smart wearable':0.64286,'intelligent wearable':0.28571,'smart wearables':0.07143}	{'smart wearables': 33, 'smart wearable': 7, 'intelligent wearable': 0}	smart wearable
三维扫描	{'三维扫描':0.85348,'3D扫描':0.14652}	{'3d scanning':0.61538,'three-dimensional scanning':0.23077,'3-d scanning':0.07692,'three-dimensional scan':0.07692}	{'3d scanning': 32, 'three-dimensional scanning': 19, '3-d scanning': 3, 'three-dimensional scan': 0}	3d scanning
还原清洗		{'reduction clearing':0.43333,'reduction cleaning':0.36667,'reductive cleaning':0.13333,'reduction washing':0.06667}	{'reduction clearing': 7, 'reduction cleaning': 0, 'reductive cleaning': 0, 'reduction washing': 0}	reduction clearing
弯曲刚度	{'弯曲刚度':0.63508,'抗弯刚度':0.36492}	{'bending rigidity':0.66667,'bending stiffness':0.33333}	{'bending rigidity': 204, 'bending stiffness': 85}	bending rigidity
阳离子改性剂		{'cationic modifier':0.63636,'cationic modification agent':0.21212,'cationic modified agent':0.09091,'cationic modification agents':0.06061}	{'cationic modifier': 0, 'cationic modification agent': 0, 'cationic modified agent': 0, 'cationic modification agents': 0}	cationic modifier
纱线强力	{'纱线强力':0.55975,'成纱强力':0.26415,'单纱强力':0.08805,'纱线强度':0.05283,'成纱强度':0.03522}	{'yarn strength':0.93333,'strength of yarn':0.06667}	{'yarn strength': 115, 'strength of yarn': 0}	yarn strength
面料开发	{'面料开发':0.69768,'织物开发':0.16279,'产品开发':0.13953}	{'fabric development':1.0}	{'fabric development': 7}	fabric development
透湿量	{'透湿性':0.4103,'透湿量':0.20284,'含水率':0.08947,'湿传递':0.08571,'透湿性能':0.07861,'透湿':0.06097,'透湿率':0.05509,'吸湿性':0.01176,'含湿量':0.00526}	{'moisture permeability':0.45,'water vapor permeability':0.25,'moisture transmission':0.2,'moisture content':0.1}	{'water vapor permeability': 640, 'moisture content': 557, 'moisture permeability': 102, 'moisture transmission': 30}	moisture permeability
分散性	{'分散性':0.66985,'分散':0.19753,'分散度':0.06349,'分散性能':0.04938,'分散体':0.01975}	{'dispersibility':0.40741,'dispersion':0.2963,'dispersity':0.14815,'dispersion property':0.14815}	{'dispersion': 703, 'dispersity': 88, 'dispersibility': 36, 'dispersion property': 0}	dispersibility
配方	{'配方':0.61392,'公式':0.17284,'复配':0.15152,'计算公式':0.03142,'使用说明':0.0303}	{'formula':0.42424,'formulation':0.30303,'prescription':0.12121,'recipe':0.09091,'instruction':0.06061}	{'formulation': 29, 'formula': 9, 'prescription': 0, 'recipe': 0, 'instruction': 0}	formula
壳聚糖季铵盐		{'chitosan quaternary ammonium salt':0.65385,'quaternary ammonium salt of chitosan':0.34615}	{'chitosan quaternary ammonium salt': 3, 'quaternary ammonium salt of chitosan': 3}	chitosan quaternary ammonium salt
驻极体	{'驻极体':0.75,'驻极':0.25}	{'electret':1.0}	{'electret': 13}	electret
锂离子电池		{'lithium-ion battery':0.4,'lithium ion battery':0.26667,'lithium ion batteries':0.2,'lithium-ion batteries':0.06667,'li-ion battery':0.06667}	{'lithium-ion batteries': 6630, 'lithium-ion battery': 1168, 'lithium ion battery': 345, 'lithium ion batteries': 303, 'li-ion battery': 249}	lithium-ion battery
增深剂		{'deepening agent':0.57143,'deep dyeing promoter':0.17857,'intensifier deep agent':0.17857,'darkening agent':0.07143}	{'deepening agent': 0, 'deep dyeing promoter': 0, 'intensifier deep agent': 0, 'darkening agent': 0}	deepening agent
亚麻粗纱		{'flax roving':0.45161,'linen roving':0.25806,'flax rove':0.12903,'flax roves':0.09677,'linen rove':0.06452}	{'flax roving': 6, 'linen roving': 0, 'flax rove': 0, 'flax roves': 0, 'linen rove': 0}	flax roving
载体染色		{'carrier dyeing':1.0}	{'carrier dyeing': 6}	carrier dyeing
亲水整理	{'亲水整理':0.94721,'亲水性整理':0.05279}	{'hydrophilic finishing':0.70968,'hydrophilic finish':0.29032}	{'hydrophilic finishing': 8, 'hydrophilic finish': 0}	hydrophilic finishing
整经机		{'warping machine':0.55172,'warper':0.44828}	{'warping machine': 9, 'warper': 0}	warping machine
碳排放	{'碳排放':0.89004,'碳排放量':0.10996}	{'carbon emission':0.65625,'carbon emissions':0.34375}	{'carbon emissions': 63, 'carbon emission': 30}	carbon emission
热定型	{'热定型':0.52643,'热定形':0.47357}	{'heat setting':0.68966,'heat-setting':0.24138,'hot setting':0.06897}	{'heat setting': 80, 'heat-setting': 11, 'hot setting': 0}	heat setting
纺纱器材		{'yarn spinning accessories':0.57143,'spinning accessories':0.32143,'spinning accessory':0.10714}	{'yarn spinning accessories': 0, 'spinning accessories': 0, 'spinning accessory': 0}	yarn spinning accessories
耐日晒色牢度	{'耐日晒色牢度':0.76749,'耐光色牢度':0.15949,'日晒牢度':0.07302}	{'color fastness to sunlight':0.68966,'color fastness to light':0.17241,'light fastness':0.13793}	{'light fastness': 198, 'color fastness to sunlight': 0, 'color fastness to light': 0}	color fastness to sunlight
自动控制	{'自动控制':0.90968,'自动化控制':0.09032}	{'automatic control':0.93333,'auto-control':0.06667}	{'automatic control': 13, 'auto-control': 0}	automatic control
导热系数	{'导热系数':0.47905,'导热性能':0.16029,'热导率':0.0935,'导热性':0.0935,'热传导性能':0.04007,'热传导率':0.04007,'热传导性':0.04007,'导热率':0.02672,'热传导系数':0.02672}	{'thermal conductivity':0.81481,'coefficient of thermal conductivity':0.11111,'heat conductivity coefficient':0.07407}	{'thermal conductivity': 2765, 'coefficient of thermal conductivity': 0, 'heat conductivity coefficient': 0}	thermal conductivity
涤棉混纺织物	{'涤棉混纺织物':0.7172,'涤棉织物':0.13543,'涤/棉混纺织物':0.08421,'涤纶/棉混纺织物':0.06316}	{'polyester/cotton blended fabric':0.4,'polyester-cotton blended fabric':0.2,'polyester and cotton blended fabric':0.08,'t/c fabric':0.08,'polyester cotton blended fabric':0.08,'cotton-polyester blended fabric':0.08,'polyester-cotton blended fabrics':0.08}	{'polyester/cotton blended fabric': 7, 'polyester-cotton blended fabric': 0, 'polyester and cotton blended fabric': 0, 't/c fabric': 0, 'polyester cotton blended fabric': 0, 'cotton-polyester blended fabric': 0, 'polyester-cotton blended fabrics': 0}	polyester/cotton blended fabric
圆纬机	{'圆纬机':0.53533,'针织圆纬机':0.1678,'针织圆机':0.09091,'大圆机':0.09091,'针织大圆机':0.04546,'圆型纬编机':0.03929,'圆机':0.0303}	{'circular knitting machine':0.5,'circular weft knitting machine':0.39286,'circular weft knitting machines':0.10714}	{'circular knitting machine': 17, 'circular weft knitting machine': 10, 'circular weft knitting machines': 0}	circular knitting machine
褶皱	{'褶皱':0.64495,'折皱':0.08403,'褶裥':0.06696,'悬垂性':0.06572,'褶':0.05102,'起皱':0.03361,'皱褶':0.03361,'褶纹':0.02009}	{'wrinkle':0.28571,'pleats':0.25,'fold':0.17857,'folds':0.10714,'pleat':0.10714,'drape':0.07143}	{'drape': 195, 'wrinkle': 63, 'pleat': 7, 'fold': 6, 'pleats': 5, 'folds': 0}	wrinkle
红外光谱法	{'红外光谱法':0.57729,'红外光谱':0.40197,'红外光谱技术':0.02074}	{'infrared spectroscopy':0.51852,'infrared spectromery':0.25926,'infrared spectrometry':0.14815,'infrared spectroscopy method':0.07407}	{'infrared spectroscopy': 4693, 'infrared spectrometry': 68, 'infrared spectromery': 0, 'infrared spectroscopy method': 0}	infrared spectroscopy
民间服饰	{'民间服饰':0.78836,'民族服饰':0.10582,'民族服装':0.05291,'民俗服饰':0.05291}	{'folk costume':0.55556,'folk costumes':0.18519,'folk dress':0.18519,'folk clothes':0.07407}	{'folk costume': 3, 'folk costumes': 0, 'folk dress': 0, 'folk clothes': 0}	folk costume
化学成分	{'化学成分':0.7276,'化学组成':0.2724}	{'chemical composition':0.7037,'chemical components':0.14815,'chemical constituents':0.07407,'chemical component':0.07407}	{'chemical composition': 2362, 'chemical component': 102, 'chemical constituents': 85, 'chemical components': 9}	chemical composition
一浴法染色	{'一浴法染色':0.47048,'同浴染色':0.45333,'一浴染色':0.04762,'一浴法':0.02857}	{'one-bath dyeing':0.6,'one bath dyeing':0.33333,'one bath dyeing method':0.06667}	{'one-bath dyeing': 9, 'one bath dyeing': 4, 'one bath dyeing method': 0}	one-bath dyeing
气相色谱-质谱	{'气相色谱-质谱':0.28394,'气相色谱-质谱法':0.19086,'GC-MS':0.12263,'气相色谱-质谱联用法':0.08166,'气质联用':0.07882,'气质联用法':0.07313,'气相色谱-质谱联用':0.04493,'气相色谱/质谱':0.03846,'气相色谱-质谱法(GC-MS)':0.03461,'气质联用仪':0.02787,'气相色谱-质谱(GC-MS)':0.02308}	{'gas chromatography-mass spectrometry':0.42308,'gc-ms':0.38462,'gas chromatography-mass spectrometry(gc-ms)':0.11538,'gas chromatography/mass spectrometry':0.07692}	{'gas chromatography-mass spectrometry': 250, 'gc-ms': 125, 'gas chromatography/mass spectrometry': 49, 'gas chromatography-mass spectrometry(gc-ms)': 0}	gas chromatography-mass spectrometry
织造效率	{'织造效率':0.8058,'织机效率':0.1942}	{'weaving efficiency':0.9375,'loom efficiency':0.0625}	{'weaving efficiency': 4, 'loom efficiency': 0}	weaving efficiency
礼服	{'礼服':0.53602,'服饰':0.25641,'连衣裙':0.13431,'服装':0.06105,'裙装':0.01221}	{'dress':0.55556,'formal dress':0.37037,'full dress':0.07407}	{'dress': 154, 'formal dress': 0, 'full dress': 0}	dress
仿生	{'仿生':0.85217,'仿生学':0.14783}	{'bionic':0.56667,'bionics':0.2,'biomimetic':0.16667,'bio-inspired':0.06667}	{'biomimetic': 166, 'bionics': 107, 'bio-inspired': 49, 'bionic': 20}	bionic
生条	{'生条':0.91346,'须条':0.02885,'条子':0.01923,'纱条':0.01923,'棉条':0.01923}	{'card sliver':0.78125,'sliver':0.125,'carded sliver':0.09375}	{'sliver': 59, 'card sliver': 5, 'carded sliver': 0}	card sliver
运动服	{'运动服':0.43804,'运动服装':0.30367,'运动装':0.07231,'体育服装':0.05785,'运动服饰':0.04138,'运动面料':0.02892,'运动休闲装':0.02892,'体育运动服装':0.02892}	{'sportswear':0.89655,'sports wear':0.10345}	{'sportswear': 126, 'sports wear': 0}	sportswear
水溶性	{'水溶性':0.95074,'水溶':0.04926}	{'water solubility':0.48276,'water-solubility':0.2069,'water soluble':0.17241,'water-soluble':0.13793}	{'water solubility': 80, 'water-soluble': 56, 'water soluble': 29, 'water-solubility': 16}	water solubility
数码	{'数字化':0.58333,'数码':0.41667}	{'digital':1.0}	{'digital': 11}	digital
定形	{'定形':0.8,'定型':0.11429,'配套':0.08571}	{'setting':1.0}	{'setting': 31}	set;setting
流行	{'流行':0.44624,'时尚':0.23513,'趋势':0.09052,'服装':0.07911,'时装':0.04175,'流行性':0.03449,'时尚性':0.01538,'时尚化':0.01318,'服饰':0.01318,'服饰时尚':0.01099,'风尚':0.00659,'服饰设计':0.00439,'发展趋势':0.00388,'流行趋势':0.00259,'潮流':0.00259}	{'fashion':0.44828,'popular':0.37931,'trend':0.10345,'popularity':0.06897}	{'fashion': 432, 'trend': 7, 'popularity': 7, 'popular': 0}	fashion
气流	{'气流':0.88542,'流场':0.06875,'气流场':0.04583}	{'air flow':0.4,'airflow':0.36667,'air current':0.1,'air-flow':0.06667,'air stream':0.06667}	{'airflow': 150, 'air flow': 89, 'air-flow': 8, 'air stream': 6, 'air current': 0}	air flow
抑菌	{'抗菌':0.47037,'抑菌':0.40833,'抑菌性':0.06818,'抗菌性':0.04579,'抗菌性能':0.00732}	{'antibacterial':0.5,'bacteriostasis':0.25,'anti bacteria':0.08333,'bacteriostatic':0.08333,'anti-biofouling':0.08333}	{'antibacterial': 1330, 'anti-biofouling': 117, 'bacteriostatic': 35, 'bacteriostasis': 14, 'anti bacteria': 0}	antibacterial
